car_model,price,year_model,kms,color,fueltype
Kia Rio 1.4 4 p Mecánica,$47.900.000,2017,58.000,Gris,Gasolina
Kia,$61.000.000,2023,29.000,Blanco,Gasolina
Kia Rio 1.4 Zenith Hb 5 p,$61.900.000,2020,59.500,Rojo,Gasolina
Kia Rio 1.2 4 p,$37.000.000,2014,120.224,Color not found,Gasolina
Kia Rio 1.5 Stylus,$22.900.000,2012,122.000,Gris,Gasolina
Kia Rio 1.4 Vibrant Mt,$62.000.000,2022,52.000,Gris,Gasolina
Kia Rio 1.4 Vibrant At,$72.900.000,2024,8.000,Color not found,Gasolina
Kia Rio 1.4 Vibrant At,$65.000.000,2022,40.000,Gris,Gasolina
Kia Rio 1.2 4 p,$38.800.000,2014,107.000,Color not found,Gasolina
Kia Rio Spice,$39.000.000,2016,48.000,Blanco,Gasolina
Kia Rio,$40.500.000,2015,Publicado,Color not found,Fuel type not found
Kia Rio Vibrant,$57.800.000,2020,66.500,Gris,Gasolina
Kia Rio 1.5 Stylus,$29.500.000,2016,86.000,Color not found,Gasolina
Kia Rio R 2017,$45.000.000,2017,84.000,Gris,Gasolina
Kia Rio 1.2 5 p,$36.800.000,2014,120.000,Blanco,Gasolina
"Kia Rio 1.400cc Sedan, Mecanico",$38.000.000,2015,75.000,Plateado,Gasolina
Kia Rio 1.25,$36.900.000,2015,64.366,Color not found,Gasolina
Kia Rio 1.6 5 p,$25.500.000,2011,260.290,Negro,Gasolina
Kia Rio 1.4,$62.000.000,2020,22.590,Rojo,Gasolina
Kia Rio 1.4 Vibrant Mt,$66.500.000,2023,14.000,Rojo,Gasolina
Kia Rio 1.25,$41.000.000,2015,104.639,Negro,Gasolina
Kia Rio 1.4 4 p Automática,$49.500.000,2017,89.000,Gris,Gasolina
Kia Rio 1.4 Vibrant Mt,$67.900.000,2023,43.000,Plateado,Gasolina
Kia Rio Spice R 1.4,$46.700.000,2017,100.000,Color not found,Gasolina
Kia Rio 1.4 Zenith Hb 4 p,$66.000.000,2021,47.000,Rojo,Gasolina
Kia Rio 1.4 Vibrant Mt,$51.990.000,2019,83.200,Gris,Gasolina
Kia Rio 1.4,$58.000.000,2020,33.000,Gris,Gasolina
Kia Rio 1.4 Zenith Hb 5 p,$75.000.000,2023,19.000,Rojo,Gasolina
Kia Rio 1.25,$45.500.000,2017,78.920,Blanco,Gasolina
Kia Rio 1.25 4 p,$42.000.000,2016,97.800,Gris,Gasolina
Kia Rio 1.2 5 p,$35.600.000,2014,137.800,Gris,Gasolina
Kia Rio Hatch Back,$59.600.000,2020,70.000,Blanco,Gasolina
Kia Rio 1.4 5 p,$36.000.000,2013,134.000,Gris,Gasolina
Kia Rio Spice 2014 - 5p - Automático - Full Equipo,$43.900.000,2014,63.000,Gris,Gasolina
Kia Rio Spice Rio Space,$47.500.000,2017,66.000,Blanco,Gasolina
Kia Rio 1.25,$42.000.000,2015,110.000,Blanco,Gasolina
Kia Rio R 1.25,$48.000.000,2017,75.000,Color not found,Gasolina
Kia Rio 1.4,$57.500.000,2018,48.000,Blanco,Gasolina
Kia Rio 1.25 5 p,$42.900.000,2017,95.000,Rojo,Gasolina
Kia Rio Ub Ex 2013,$38.900.000,2013,73.000,Azul,Gasolina
Kia Rio 1.4 Vibrant Mt,$59.000.000,2020,43.000,Color not found,Gasolina
Kia Rio 1.4 Vibrant Mt,$59.000.000,2020,43.000,Blanco,Gasolina
Kia Rio Sedán Ub-ex,$40.500.000,2015,107.000,Color not found,Gasolina
Kia Rio 1.4 5 p,$39.000.000,2013,111.000,Color not found,Gasolina
Kia Rio Ub Ex 1.4 Full,$38.500.000,2013,82.200,Azul,Gasolina
Kia Rio 1.4 4 p 109 hp,$36.000.000,2012,176.000,Color not found,Gasolina
Kia Rio 1.6 Sport 4 p,$33.000.000,2010,80.000,Color not found,Gasolina
Kia Rio 1.4 Vibrant Hb 5 p,$75.000.000,2023,5.900,Blanco,Gasolina
Kia Rio Sedán Kia Rio New Excide ,$28.000.000,2012,118.000,Color not found,Gasolina
Kia Rio 1.5 Ls Nb,$15.990.000,2005,3.000,Gris,Gasolina
Kia Rio 1.4,$70.900.000,2023,4.000,Color not found,Gasolina
Kia Rio 1.2 5 p,$34.000.000,2014,118.000,Color not found,Gasolina
Kia Rio 1.4 Vibrant Mt,$54.900.000,2020,47.000,Color not found,Gasolina
Kia Rio Sedán Rio Stylus Ls,$29.000.000,2014,72.000,Color not found,Gasolina
Kia Rio 1.25,$42.000.000,2015,80.500,Plateado,Gasolina
Kia Rio 1.4 4 p,$45.900.000,2016,59.000,Rojo,Gasolina
Kia Rio 1.4 Vibrant Mt,$65.000.000,2022,22.000,Blanco,Gasolina
